Obat,Kode_Obat,Tanggal_Pemakaian,Unit,Harga_Pokok_Pembelian,Total_Harga_Pokok,Unit_Sisa
Paracetamol 500mg,PAR001,2023-02-01,200,500,100000,800
Amoxicillin 500mg,AMX001,2023-03-15,150,2000,300000,650
Omeprazole 20mg,OMP001,2023-04-10,100,1500,150000,500
Ibuprofen 400mg,IBU001,2023-05-20,120,800,96000,580
Cefixime 100mg,CFX001,2023-06-25,80,2500,200000,420
Metformin 500mg,MET001,2023-07-30,150,600,90000,750
Salbutamol 2mg,SAL001,2023-08-15,70,1000,70000,330
Loratadine 10mg,LOR001,2023-09-05,50,1200,60000,250
Amlodipine 5mg,AML001,2023-10-10,90,1800,162000,410
Vitamin C 500mg,VIT001,2023-11-12,200,300,60000,1000
